facility_node_set,facility_buffer_m,endpoint_snap_threshold_m,merge_mode,raw_line_features,merged_circuits,reduction_percentage,inter_facility_circuits,self_loops,single_facility,isolated,tap_multi_terminal,ambiguous,loop,clean_branch_count,graph_nodes,graph_edges,connected_components,largest_component_size,isolated_nodes,mixed_voltage_circuits,mixed_status_circuits,suspicious_matches,strategy_score,recommended_yes_no,reason
C,100,25.0,voltage-aware,5334,126,97.6378,6,1,9,65,13,8,24,6,12,6,6,2,0,0,7,2,130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,25.0,voltage-status-aware,5334,200,96.2505,9,6,29,96,20,3,37,9,18,9,9,2,0,0,0,3,700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,50.0,geometry-only,5334,79,98.5189,1,0,2,55,3,4,14,1,2,1,1,2,0,1,3,2,-480,no,moderate facility buffer
C,100,50.0,voltage-aware,5334,80,98.5002,1,0,2,55,3,5,14,1,2,1,1,2,0,0,4,2,-440,no,no mixed-voltage circuits; moderate facility buffer
C,100,50.0,voltage-status-aware,5334,151,97.1691,3,3,19,84,6,3,33,3,6,3,3,2,0,0,0,3,-150,no,no mixed-voltage circuits; moderate facility buffer
C,250,0.5,geometry-only,5334,1340,74.8781,353,113,466,196,102,105,5,353,369,353,61,27,0,0,1,104,26190,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,0.5,voltage-aware,5334,1340,74.8781,353,113,466,196,102,105,5,353,369,353,61,27,0,0,1,104,26190,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,0.5,voltage-status-aware,5334,1341,74.8594,353,113,466,198,102,104,5,353,369,353,61,27,0,0,0,104,26250,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,1.0,geometry-only,5334,1234,76.8654,295,108,435,188,116,84,8,295,331,295,63,27,0,0,9,77,22710,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,1.0,voltage-aware,5334,1234,76.8654,295,108,435,188,116,84,8,295,331,295,63,27,0,0,9,77,22710,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,1.0,voltage-status-aware,5334,1247,76.6217,297,109,440,191,119,83,8,297,331,297,62,27,0,0,0,83,22750,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,5.0,geometry-only,5334,877,83.5583,148,58,287,126,141,89,28,148,211,148,67,8,0,0,40,53,7700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,5.0,voltage-aware,5334,877,83.5583,148,58,287,126,141,89,28,148,211,148,67,8,0,0,40,53,7700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,5.0,voltage-status-aware,5334,942,82.3397,157,68,312,154,163,56,32,157,221,157,70,8,0,0,0,56,10500,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,10.0,geometry-only,5334,440,91.751,55,25,109,94,64,56,37,55,96,55,41,7,0,0,37,25,1430,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,10.0,voltage-aware,5334,440,91.751,55,25,109,94,64,56,37,55,96,55,41,7,0,0,37,25,1430,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,10.0,voltage-status-aware,5334,515,90.345,62,36,131,127,88,28,43,62,106,62,44,7,0,0,0,28,3750,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,25.0,geometry-only,5334,126,97.6378,6,2,12,60,13,9,24,6,12,6,6,2,0,0,7,3,30,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,25.0,voltage-aware,5334,126,97.6378,6,2,12,60,13,9,24,6,12,6,6,2,0,0,7,3,30,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,25.0,voltage-status-aware,5334,200,96.2505,9,11,32,87,19,5,37,9,18,9,9,2,0,0,0,5,500,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,50.0,geometry-only,5334,79,98.5189,1,0,5,51,3,5,14,1,2,1,1,2,0,1,3,3,-580,no,moderate facility buffer
C,250,50.0,voltage-aware,5334,80,98.5002,1,0,5,51,3,6,14,1,2,1,1,2,0,0,4,3,-540,no,no mixed-voltage circuits; moderate facility buffer
C,250,50.0,voltage-status-aware,5334,151,97.1691,3,5,24,76,5,5,33,3,6,3,3,2,0,0,0,5,-350,no,no mixed-voltage circuits; moderate facility buffer
C,500,0.5,geometry-only,5334,1340,74.8781,343,146,429,186,101,130,5,343,363,343,60,27,0,0,1,129,22190,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,0.5,voltage-aware,5334,1340,74.8781,343,146,429,186,101,130,5,343,363,343,60,27,0,0,1,129,22190,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,0.5,voltage-status-aware,5334,1341,74.8594,343,146,429,188,101,129,5,343,363,343,60,27,0,0,0,129,22250,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,1.0,geometry-only,5334,1234,76.8654,293,139,402,177,113,102,8,293,327,293,61,27,0,0,9,96,20160,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,1.0,voltage-aware,5334,1234,76.8654,293,139,402,177,113,102,8,293,327,293,61,27,0,0,9,96,20160,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,1.0,voltage-status-aware,5334,1247,76.6217,293,141,406,180,115,104,8,293,327,293,61,27,0,0,0,104,19750,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,5.0,geometry-only,5334,877,83.5583,150,72,269,120,137,101,28,150,213,150,67,8,0,0,40,67,6100,no,no mixed-voltage circuits; conservative endpoint snapping
