line_id,line_name,scenario_family,variant_id,scenario_value,metric_max_loading_percent,over_80_loading_flag,over_100_loading_flag,top_congested_flag,binding_under_internal_dispatch_flag,asset_type,from_bus,to_bus,source_scenario_id,bottleneck_persistence_count
20,ATPL_00075,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,84.52698705595976,True,False,False,False,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15
22,ATPL_00089,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,3.7967768214651825,False,False,False,False,cable,407,427,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
23,ATPL_00090,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,5.217517913323646,False,False,False,False,cable,445,409,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
25,ATPL_00120,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,5.497268148369636,False,False,False,False,cable,410,433,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
26,ATPL_00121,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,10.739926665380867,False,False,False,False,cable,407,433,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
27,ATPL_00139,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,11.964439028334532,False,False,False,False,cable,419,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
28,ATPL_00140,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,3.09233511479411,False,False,False,False,cable,415,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
29,ATPL_00141,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,16.37874348324052,False,False,False,False,cable,407,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
30,ATPL_00142,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,11.581354801202233,False,False,False,False,cable,431,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
31,ATPL_00143,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,1.9983316086437923,False,False,False,False,cable,439,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
32,ATPL_00147,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,90.19674662465982,True,False,False,False,mixed,542,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,1
36,ATPL_00207,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,1.9982206148148616,False,False,False,False,cable,439,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
42,ATPL_00229,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,20.059225127516815,False,False,False,False,cable,429,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
43,ATPL_00241,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,3.022418192726367,False,False,False,False,cable,425,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
44,ATPL_00242,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,3.022779693759571,False,False,False,False,cable,408,425,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
45,ATPL_00243,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,5.20241749240559,False,False,False,False,cable,435,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
46,ATPL_00244,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,71.81487144660164,False,False,False,False,mixed,458,478,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,2
49,ATPL_00256,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,4.588119376272684,False,False,False,False,cable,443,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
50,ATPL_00257,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,1.4291587805567891,False,False,False,False,cable,407,449,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
52,ATPL_00273,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,18.91649771282487,False,False,False,False,cable,407,419,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
53,ATPL_00274,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,5.443514213368961,False,False,False,False,cable,408,431,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
54,ATPL_00275,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,5.497268148367698,False,False,False,False,cable,437,410,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
57,ATPL_00304,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,94.475789225628,True,False,True,False,mixed,458,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,4
58,ATPL_00314,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,0.35155756887918,False,False,False,False,cable,437,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
59,ATPL_00334,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,1.6253036637734384,False,False,False,False,cable,417,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
60,ATPL_00340,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,6.916633051095242,False,False,False,False,cable,441,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
63,ATPL_00343,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,17.439892143947244,False,False,False,False,overhead,476,474,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
4,ATPL_00012,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,7.590734350950494,False,False,False,False,cable,453,409,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
5,ATPL_00013,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,23.375952396812288,False,False,False,False,cable,408,429,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
10,ATPL_00049,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.634161928735631,False,False,False,False,cable,408,415,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
11,ATPL_00050,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,20.386089482818495,False,False,False,False,cable,409,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
12,ATPL_00051,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,6.996658681955961,False,False,False,False,cable,409,441,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
13,ATPL_00052,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,8.10495199392929,False,False,False,False,cable,409,455,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
