bus_id,voltage_kv,lon,lat,facility_id,facility_name,facility_code,facility_type,source,source_status,endpoint_match_distance_m
BUS:JUNCTION:60:03156,60,-7.984482960726894,40.975127582781944,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03157,60,-7.572541051107053,38.84640789910272,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03158,60,-8.313020691771733,41.228965726402706,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03159,60,-8.300846077275894,41.22877101012437,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03160,60,-9.200000753717251,39.33346375543031,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03161,60,-8.338248173116783,39.48842746300469,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03162,60,-8.277159147321717,39.48661946889779,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03163,60,-8.09198153464601,37.095823479842025,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03164,60,-8.092829493264889,37.09545288279493,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03165,60,-8.094323738592347,37.09759288350985,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03166,60,-8.155779275762383,37.874540426690956,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03167,60,-7.727293797715308,40.24612669283863,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03168,60,-8.53253680608498,37.19788068478953,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03169,60,-7.867555365706954,41.32442696095529,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03170,60,-7.843000048585618,41.33555886202262,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03171,60,-8.303882315306922,41.21861233110421,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03172,60,-8.45385373458468,40.92748858048372,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03173,60,-7.196777865397306,40.28329688818855,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:EREDES:0507S5024400:60,60,-7.20101541372892,40.2430546618134,EREDES:0507S5024400,MEIMOA,0507S5024400,substation,E-REDES,DIRECT_EREDES,30.973262295519554
BUS:JUNCTION:60:03175,60,-9.171874690377601,38.78214123575839,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03176,60,-8.207611981231157,39.45337416083402,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03177,60,-9.298368439462983,38.73741029588345,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03178,60,-8.75655051790786,38.59717451507598,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03179,60,-8.98027682478226,38.98573802164529,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03180,60,-8.853310876990008,38.51709802382115,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03181,60,-8.221342392492812,41.421445089745944,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03182,60,-8.2958003423681,41.43040031552913,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03183,60,-7.036551137125495,41.478988589767916,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03184,60,-6.972007203606777,41.538725276697065,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03186,60,-8.533701744864116,41.25742553678008,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03187,60,-8.535661402011852,41.255421375605565,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03188,60,-8.190618340333254,37.66642366847583,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03189,60,-8.090872915706772,37.09500625255329,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03190,60,-9.32188861316003,38.84073092521699,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03191,60,-8.60894543387921,41.18495927485285,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03193,60,-8.92657649681308,38.70258882473433,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03194,60,-7.786426172058137,41.54500601370862,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03195,60,-8.573383123791583,40.77429398309275,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03196,60,-8.572602571517145,40.77098749150605,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03197,60,-8.58786971123193,40.7744805638373,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03198,60,-7.799057268101008,40.998042912639555,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03199,60,-8.266126492683794,40.50347708619846,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03200,60,-8.633789811145213,40.92185093450038,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03201,60,-8.841906763308069,39.11756502254639,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03202,60,-8.848856887887575,41.68661855996346,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03203,60,-7.587283149806096,39.42756882803064,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03204,60,-7.588418729806211,39.42743575012656,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03205,60,-8.848130668904252,41.69378727278001,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03206,60,-7.994283994227477,39.44832741553105,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03207,60,-7.966512271714314,39.38718025810518,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03208,60,-7.966540622923772,39.38503289685801,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03209,60,-7.867737749494266,38.586159026001525,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03210,60,-7.950077486452205,38.56532428617444,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03211,60,-8.10251083745913,38.41381575680205,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03212,60,-8.056491037495036,38.06433785444715,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03213,60,-8.13206877993837,37.976830832228416,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:60:03214,60,-8.134001460294105,37.97428406538891,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
