sample_id,sample_type,line_id,line_name,scenario_family,variant_id,scenario_value,metric_max_loading_percent,over_80_loading_flag,over_100_loading_flag,top_congested_flag,binding_under_internal_dispatch_flag,asset_type,from_bus,to_bus,source_scenario_id,bottleneck_persistence_count,edge_id,source_node_id,target_node_id,policy_class,repeated_bottleneck,publication_allowed,prov_diagnostic_only,diagnostic_only
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|54|0.1,line_risk,54,ATPL_00275,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.6000352526266663,False,False,False,False,cable,437,410,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,54,437,410,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|57|0.1,line_risk,57,ATPL_00304,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,44.09771970671831,False,False,False,False,mixed,458,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,4,57,458,544,MIXED_PARALLEL_EQUIVALENT_REQUIRED,True,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|58|0.1,line_risk,58,ATPL_00314,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,0.0271799628826455,False,False,False,False,cable,437,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,58,437,408,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|59|0.1,line_risk,59,ATPL_00334,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,0.757656002908252,False,False,False,False,cable,417,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,59,417,407,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|60|0.1,line_risk,60,ATPL_00340,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,2.34333092656849,False,False,False,False,cable,441,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,60,441,408,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.1|63|0.1,line_risk,63,ATPL_00343,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,12.07032216068258,False,False,False,False,overhead,476,474,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,63,476,474,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.2|4|0.2,line_risk,4,ATPL_00012,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,5.060489567300202,False,False,False,False,cable,453,409,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,4,453,409,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.2|5|0.2,line_risk,5,ATPL_00013,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,15.171185619752832,False,False,False,False,cable,408,429,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,5,408,429,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.2|10|0.2,line_risk,10,ATPL_00049,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,3.0894412858236757,False,False,False,False,cable,408,415,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,10,408,415,,False,False,True,True
line|S21_NO_EXTGRID_GEN_ONLY_DCOPF|load_scale_0.2|11|0.2,line_risk,11,ATPL_00050,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,12.509982622668916,False,False,False,False,cable,409,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0,11,409,421,,False,False,True,True
